"species","longitude","latitude","eco_values","source","elevation_points","Temperatur","Moisture","Landcover","Landforms","Climate_Re","Red","Green","Blue","W_Ecosystm","color","temp_January","temp_October","temp_November","temp_December","temp_February","temp_March","temp_April","temp_May","temp_June","temp_July","temp_August","temp_September","precip_January","precip_October","precip_November","precip_December","precip_February","precip_March","precip_April","precip_May","precip_June","precip_July","precip_August","precip_September","ID","MYD13Q1_NDVI_2020_153"
"Coracias garrulus",6.9752270356,46.4490012655,97,"inat",1560.73410667577,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000","-5.45817332148905","2.67984188845153","-1.98747689162935","-4.23813001684366","-5.57288260912957","-3.87169118315677","-1.43912494119867","3.01359948141578","5.9956275366958","8.51033676386794","8.84508942629298","6.04508941682865","134.324848096049","119.74953914935","139.011097416024","152.324848096049","140.704999956049","108.4445897547","108.110125153324","115.288696057325","127.864820223975","112.392064495975","112.919308767975","101.179718969325",1,0.227180859375
"Coracias garrulus",7.0555514138,46.9853496967,116,"inat",433.156339012036,"Cool Temperate","Moist","Cropland","Plains","Cool Temperate Moist",29,153,10,"Cool Temperate Moist Cropland on Plains","#1D990A","-1.89510108290604","5.9048989827796","1.5048988932521","-0.616616983499163","-1.27848411515129","1.22151588484871","3.62151579309536","7.92151593253242","10.9876707692838","13.1215161160391","12.7833831617462","9.68338293874818","58.618671767159","77.1232918368412","73.7419636040001","66.9571221808412","55","60","68.1232918368412","90.2465836736824","94.166169656","86.3813282328411","92","81",2,0.746725830078125
"Coracias garrulus",7.0589475631,46.9887695311,116,"inat",430.501505448385,"Cool Temperate","Moist","Cropland","Plains","Cool Temperate Moist",29,153,10,"Cool Temperate Moist Cropland on Plains","#1D990A","-1.96386504652525","5.83613510113341","1.4361349296329","-0.672605133485734","-1.3087400296596","1.20000004768372","3.5847655459612","7.88476573669606","10.9361347012337","13.1000003814697","12.7361348919685","9.63613511956343","58.426292428","77.6386505514049","74","67","55","60","68.573707572","91.2123581234049","94.573707572","86.7260513040001","92","81",3,0.64798095703125
"Coracias garrulus",7.1628327884,47.2830388685,107,"inat",999.401421551443,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist",26,83,0,"Cool Temperate Moist Grassland on Mountains","#1A5300","-4.39814447878935","3.60185552563479","-0.898144358474028","-3.00213784041347","-4.09814428805449","-2.04860421809962","0.0978621590059878","4.5","7.45139578190038","9.80185579846466","9.89999961853027","7.0978620642191","103.950706864522","103.486042644523","114.504598828","122.972085289045","105.950706864522","90.9906414725225","97.0613130325228","119","127.486042644523","108.504598828","110.486042644523","103.018556183477",4,0.773837548828125
"Coracias garrulus",8.0189998557,47.1640868223,110,"inat",498.776781414554,"Cool Temperate","Moist","Cropland","Hills","Cool Temperate Moist",33,144,30,"Cool Temperate Moist Cropland on Hills","#21901E","-2.79999995231628","5.09999990463257","0.800000011920929","-1.60000002384186","-2.20000004768372","0.5","3.08218773062058","7.40000009536743","10.5821881225226","12.6000003814697","12.2148521929213","8.98218774105286","88","97.1781219099902","105.17812190999","100","91.9581045939902","84.8095813240002","96.3991453320004","113","135","125.809581324","123.14852326999","94.1781219099902",5,0.701187158203125
"Coracias garrulus",8.3738330892,47.2845255706,103,"inat",380.30923221218,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist",33,102,5,"Cool Temperate Moist Cropland on Mountains","#216605","-2.29999995231628","5.80000019073486","1.29999995231628","-1.12284469274704","-1.77685139333388","1.10000002384186","3.79999995231628","8.27715544013079","11.3999996185303","13.3000001907349","13","9.62314883007109","76.8715151065861","90.7685141894139","95.6400292960001","89","84","73.2284466345859","86.9969608239999","104.356931528","128.128484893414","119.588417338586","117.588417338586","88.5884173385859",6,0.686575146484375
"Coracias garrulus",8.9468347281,46.1695654235,171,"inat",202.305246574745,"Warm Temperate","Moist","Grassland","Mountains","Warm Temperate Moist",86,129,14,"Warm Temperate Moist Grassland on Mountains","#56810E","-2.58798317889261","7.21201659230537","1.72723167909312","-1.68798330761869","-0.987983259934972","2.40182843033505","5.61521480812246","10.3254033638646","13.6999998092651","15.925403033925","15.5254034153947","11.8999996185303","81.6121010022255","142","98.9817166328875","72","60.8478508200003","94.8478508200003","134.84785082","168.304298359999","170.15214918","133","155.15214918","157.018283367113",7,0.760583349609375
"Merops apiaster",6.4115036699,46.5723107006,97,"inat",660.031860839452,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist",6,64,0,"Cool Temperate Moist Forest on Mountains","#064000","-2.42756483599341","5.27243531866984","0.872435219102287","-1.3119559163668","-2.0119559497979","0.172435235655701","2.70000004768372","7.07243516400659","9.97243512793498","12.2724353186698","11.9978803904282","8.88804372574284","96.2756476691379","108.275647669138","110.119559612","107.374011266276","94.2756476691378","82","89","103.901636402862","122","101.275647669138","100","110",8,0.808536328125
"Merops apiaster",6.42862077,46.5118176536,113,"inat",482.994900021045,"Cool Temperate","Moist","Settlement","Mountains","Cool Temperate Moist",61,67,0,"Cool Temperate Moist Settlement on Mountains","#3D4300","-1.59836262665141","6.10163729987108","1.70110104912426","-0.490710835246379","-0.998362602809557","1.10110103440402","3.80110097980918","8.10875312248529","11.1087531224853","13.4011006955029","13.0092891295621","9.80163752080813","86.9889898970034","102.988989897003","100.988989897003","95.9889898970034","84.9889898970034","75.8633385620073","84.9234822970033","97","116.923482297003","95.9234822970034","93","104.983626031999",9,0.582385009765625
"Merops apiaster",6.4772656203,46.5608082755,103,"inat",508.140499661022,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist",33,102,5,"Cool Temperate Moist Cropland on Mountains","#216605","-1.81818140578274","5.95900603356326","1.49748813700111","-0.602511876003762","-1.22069334247509","0.959005995531586","3.55900593819583","7.95900603356326","10.940824492992","13.1793065921865","12.8793064014517","9.65900586491124","88.2069331153168","103.363628982633","102.409940055317","96.5917545466334","85.7947614866332","78.0251186240002","86.8181855086833","99.0714296966836","119.843304132684","100.025118624","98.7969930600001","107",10,0.63104140625
